id,name,application_scenario,zenodo_doi,data_reference,paper,original_data
1,DLPFC,"Inter-slice, non-consecutive; Inter-slice, consecutive; Inter-sample","10.5281/zenodo.21362875","Maynard et al., Nature Neuroscience, 2021","10.1038/s41593-020-00787-0","http://research.libd.org/globus"
2,HBC,"Inter-slice, non-consecutive","10.5281/zenodo.21426542","10x Genomics official dataset","N/A","10x Genomics"
3,HER2+ breast tumor ST,"Inter-slice, non-consecutive; Inter-slice, consecutive; Inter-sample, different-samples","10.5281/zenodo.21318241","Andersson et al., Nature Communications, 2021","10.1038/s41467-021-26271-2","EGA: EGAD00001008031; Zenodo: 4751624"
4,Visium mouse brain,"Inter-slice, consecutive","10.5281/zenodo.21319528","Ortiz et al., Science Advances, 2020","10.1126/sciadv.abb3446","GEO: GSE147747; Molecular Atlas"
5,MERFISH mouse hypothalamus,"Inter-slice, consecutive","10.5281/zenodo.21319752","Moffitt et al., Science, 2018","10.1126/science.aau5324","Dryad: 10.5061/dryad.8t8s248"
6,STARmap mouse brain,"Inter-slice, consecutive; 10 slices","10.5281/zenodo.21319822","Xu et al., Nature Communications, 2023","10.1038/s41467-023-43220-3","Zenodo: 8167488"
7,Stereo-seq mouse embryo E16.5,"Inter-slice, consecutive; Slice_5-Slice_9","10.5281/zenodo.21319948","Chen et al., Cell, 2022","10.1016/j.cell.2022.04.003","CNGB/CNSA: CNP0001543"
8,STARmap PLUS mouse mPFC,"Inter-sample, different samples; BZ5/BZ9/BZ14","10.5281/zenodo.21320238","Shi et al., Nature, 2023","10.1038/s41586-023-06569-5","Zenodo: 10698914"
9,Human CRC Visium HD,"Inter-sample, different samples","10.5281/zenodo.21320852","Oliveira et al., Nature Genetics, 2025","10.1038/s41588-025-02193-3","10x Genomics official dataset"
10,Xenium human HER2+ breast cancer,"Inter-slice, consecutive; Rep1/Rep2","10.5281/zenodo.21349247","Janesick et al., Nature Communications, 2023","10.1038/s41467-023-43458-x","GEO: GSE243280; 10x Genomics"
11,Spatch human HCC,"Cross-platform","10.5281/zenodo.21349595","Ren et al., Nature Communications, 2025","10.1038/s41467-025-64292-3","GSA-Human: HRA011129; BioImage Archive: S-BIAD1900; Spatch"
12,Spatch human OV,"Cross-platform","10.5281/zenodo.21351581","Ren et al., Nature Communications, 2025","10.1038/s41467-025-64292-3","GSA-Human: HRA011129; BioImage Archive: S-BIAD1900; Spatch"
13,Coronal,"Cross-protocol","10.5281/zenodo.22225853","Guo et al., Genome Biology, 2023","10.1186/s13059-023-03078-6","10x Genomics datasets: normal; DAPI; FFPE"
14,MOB,"Cross-platform","10.5281/zenodo.22226692","Guo et al.; Zhang et al.; Stickels et al.","10.1186/s13059-023-03078-6; BMC Genomics 2024; 10.1038/s41587-021-00855-5","10x Genomics; Stereo-seq; Slide-seq V2"
15,Xenium breast2,"Cell segmentation","10.5281/zenodo.22226798","Janesick et al., bioRxiv, 2025","10.64898/2025.12.08.692193","10x Genomics FFPE human breast biomarkers"
16,Xenium gene overlap,"Gene overlap","10.5281/zenodo.22227654","Janesick et al., Nature Communications, 2023","10.1038/s41467-023-43458-x","GEO: GSE243280; 10x Genomics"
17,DLPFC simulated,"Inter-slice; Inter-sample","10.5281/zenodo.22275824","Simulated using SRTsim/scDesign3 based on DLPFC 151507","10.1038/s41593-020-00787-0","LIBD DLPFC dataset"
18,HBC simulated,"Inter-slice; Inter-sample","10.5281/zenodo.22278071","Simulated using SRTsim/scDesign3 based on HBC section1","N/A","10x Genomics HBC dataset"
19,Xenium breast simulated,"Inter-slice; Inter-sample","10.5281/zenodo.22280049","Simulated using SRTsim/scDesign3 based on Xenium breast Rep1","10.1038/s41467-023-43458-x","10x Genomics Xenium breast dataset"
20,Spatch OV simulated,"Cross-platform","10.5281/zenodo.22279989","Simulated using SRTsim/scDesign3 based on Spatch ovarian cancer Xenium data","10.1038/s41467-025-64292-3","Spatch ovarian cancer dataset"
